index,x,y,z,HoldTime,GimbalPitch
1850,4.141119162909319,1.3907066356527817,1,0.5,-90.0
1851,4.32913016423375,1.5415489415302643,1,0.5,-90.0
1852,4.497339909404803,1.7141821086634967,1,0.5,-90.0
1853,4.643286418435345,1.9060839879703992,1,0.5,-90.0
1854,4.764746766584799,2.1143370002280215,1,0.5,-90.0
1855,4.859942806787753,2.3358987056342913,1,0.5,-90.0
1856,4.9274240062022665,2.567401209161547,1,0.5,-90.0
1857,4.966201316129077,2.8054628396353833,1,0.5,-90.0
1858,4.975682193803194,3.046465756904953,1,0.5,-90.0
1859,4.955724985852814,3.286890085015029,1,0.5,-90.0
1860,4.906629698935088,3.5230830175892756,1,0.5,-90.0
1861,4.82911000953488,3.7515955057343966,1,0.5,-90.0
1862,4.724340024161009,3.968956582911862,1,0.5,-90.0
1863,4.593845921940862,4.171992649517095,1,0.5,-90.0
1864,4.439605629032355,4.357620348365872,1,0.5,-90.0
1865,4.263866850433561,4.523129611376401,1,0.5,-90.0
1866,4.0692934702215435,4.666007240222544,1,0.5,-90.0
1867,3.8587210548988264,4.784167113202635,1,0.5,-90.0
1868,3.635341063815879,4.875814737531392,1,0.5,-90.0
1869,3.402408554605361,4.939611218099777,1,0.5,-90.0
1870,3.1634531053269526,4.9745865647441745,1,0.5,-90.0
1871,2.9219562110618837,4.980228004380376,1,0.5,-90.0
1872,2.6815763062660243,4.956446899184927,1,0.5,-90.0
1873,2.445815052230616,4.903586499988021,1,0.5,-90.0
1874,2.21824308969928,4.822444135576125,1,0.5,-90.0
1875,2.0021749843183354,4.714198288427618,1,0.5,-90.0
1876,1.8008823754535483,4.580484441825365,1,0.5,-90.0
1877,1.6172967437175247,4.423246125029104,1,0.5,-90.0
1878,1.4541974446230277,4.244859647322562,1,0.5,-90.0
1879,1.3139597308089712,4.047918227244613,1,0.5,-90.0
1880,1.1987067148374715,3.8353979866075822,1,0.5,-90.0
1881,1.1101173272098321,3.610388185437389,1,0.5,-90.0
1882,1.0495334445526003,3.376288460793554,1,0.5,-90.0
1883,1.0178388608253417,3.136501308192207,1,0.5,-90.0
1884,1.0155155118316417,2.8946487673619266,1,0.5,-90.0
1885,1.0426002983265608,2.6542454425345237,1,0.5,-90.0
1886,1.0986873730509374,2.4189217610478346,1,0.5,-90.0
1887,1.1829650340511009,2.1920968874602575,1,0.5,-90.0
1888,1.2941642351874043,1.9771953697851223,1,0.5,-90.0
1889,1.4306730401820429,1.777339219270302,1,0.5,-90.0
1890,1.5904346826227864,1.5955452261715348,1,0.5,-90.0
1891,1.7711325150656667,1.4344542593892322,1,0.5,-90.0
1892,1.9700438938723077,1.29649774632368,1,0.5,-90.0
1893,2.1842844403782986,1.1836799722471731,1,0.5,-90.0
1894,2.410626587424274,1.097704100565734,1,0.5,-90.0
