T2025_08_12__152021_478,user,41,129,3,2.413,3.466,0.274,2,na,108,0,na,na,na,,,
T2025_08_12__152021_481,user,41,133,3,na,na,na,9064,-580,404,4173,na,na,na,na,na,na
T2025_08_12__152021_609,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_624,user,41,129,3,2.412,3.464,0.273,2,na,107,0,na,na,na,,,
T2025_08_12__152021_626,user,41,133,3,na,na,na,9065,-593,414,4174,na,na,na,na,na,na
T2025_08_12__152021_754,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_769,user,41,129,3,2.415,3.464,0.28,2,na,107,0,na,na,na,,,
T2025_08_12__152021_771,user,41,133,3,na,na,na,9062,-553,501,4179,na,na,na,na,na,na
T2025_08_12__152021_899,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_915,user,41,129,3,2.412,3.467,0.277,2,na,107,0,na,na,na,,,
T2025_08_12__152021_917,user,41,133,3,na,na,na,9060,-526,498,4179,na,na,na,na,na,na
T2025_08_12__152022_045,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_060,user,41,129,3,2.413,3.464,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152022_062,user,41,133,3,na,na,na,9052,-503,400,4170,na,na,na,na,na,na
T2025_08_12__152022_191,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_205,user,41,129,3,2.413,3.466,0.274,2,na,108,0,na,na,na,,,
T2025_08_12__152022_208,user,41,133,3,na,na,na,9061,-603,409,4170,na,na,na,na,na,na
T2025_08_12__152022_336,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_351,user,41,129,3,2.414,3.463,0.275,2,na,107,0,na,na,na,,,
T2025_08_12__152022_353,user,41,133,3,na,na,na,9053,-515,450,4175,na,na,na,na,na,na
T2025_08_12__152022_481,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_496,user,41,129,3,2.408,3.466,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152022_498,user,41,133,3,na,na,na,9051,-479,418,4175,na,na,na,na,na,na
T2025_08_12__152022_627,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_642,user,41,129,3,2.411,3.465,0.273,2,na,107,0,na,na,na,,,
T2025_08_12__152022_644,user,41,133,3,na,na,na,9055,-524,458,4177,na,na,na,na,na,na
T2025_08_12__152022_772,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_787,user,41,129,3,2.409,3.468,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152022_789,user,41,133,3,na,na,na,9053,-501,379,4172,na,na,na,na,na,na
T2025_08_12__152022_918,user,53,,,,,,,,,,,,,,,
T2025_08_12__152022_932,user,41,129,3,2.413,3.467,0.274,2,na,108,0,na,na,na,,,
T2025_08_12__152022_935,user,41,133,3,na,na,na,9068,-549,460,4181,na,na,na,na,na,na
T2025_08_12__152023_063,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_078,user,41,129,3,2.415,3.467,0.277,2,na,107,0,na,na,na,,,
T2025_08_12__152023_080,user,41,133,3,na,na,na,9067,-566,479,4180,na,na,na,na,na,na
T2025_08_12__152023_208,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_223,user,41,129,3,2.412,3.465,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152023_225,user,41,133,3,na,na,na,9052,-534,394,4170,na,na,na,na,na,na
T2025_08_12__152023_354,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_369,user,41,129,3,2.415,3.463,0.277,2,na,107,0,na,na,na,,,
T2025_08_12__152023_371,user,41,133,3,na,na,na,9056,-541,382,4171,na,na,na,na,na,na
T2025_08_12__152023_499,user,53,,,,,,,,,,,,,,,
T2025_08_12__152023_514,user,41,129,3,2.413,3.467,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152023_516,user,41,133,3,na,na,na,9066,-571,493,4180,na,na,na,na,na,na
